"","sm_2","sm_4","sm_8","sm_20","sm_40","st_2","st_4","st_8","st_20","st_40","serial_number","station_name","station_id","network","elevation","lat","long","wind_speed","air_temp","start_date","p1day","p2day","p3day","p4day","p5day","raw_predictions","predictions"
"1",0.186,-999999,0.206,0.106,-999999,11.67,-999999,13.89,13.33,-999999,1,"Agua Canyon",907,"SNTL",2712.72,37.52217,-112.27118,-999999,8.72222222222222,2017-09-20,0,0,0,0,2.54000000000004,0.206714285714286,"10"
"2",0.19,-999999,0.042,0.03,-999999,6.11,-999999,6.11,8.33,-999999,2,"Bear River RS",992,"SNTL",2675.2296,40.8852,-110.8277,-999999,-0.111111111111111,2017-09-20,17.78,17.78,17.78,20.3199999999999,35.56,0.279,"11"
"3",0.34,-999999,0.337,0.303,-999999,10,-999999,11.67,12.22,-999999,3,"Beaver Dams",329,"SNTL",2435.352,39.13683,-111.55813,-999999,3.11111111111111,2017-09-20,0,0,0,0,22.8600000000001,0.28,"12"
"4",0.14,-999999,0.115,0.069,-999999,5,-999999,8.89,11.11,-999999,4,"Beaver Divide",330,"SNTL",2523.744,40.61233,-111.09782,-999999,-0.277777777777778,2017-09-20,15.24,15.24,15.24,15.24,35.56,0.0945555555555556,"1"
"5",0.195,-999999,0.174,0.047,-999999,4.44,-999999,8.33,8.89,-999999,5,"Ben Lomond Peak",332,"SNTL",2343.6072,41.37603,-111.94405,-999999,2.88888888888889,2017-09-20,5.08000000000007,7.61999999999993,7.61999999999993,12.7,25.4,0.181441176470588,"7"
"6",0.146,-999999,0.179,0.136,-999999,8.33,-999999,10,11.11,-999999,6,"Ben Lomond Trail",333,"SNTL",1820.2656,41.38291,-111.92103,-999999,1.11111111111111,2017-09-20,15.24,22.86,22.86,22.86,40.64,0.181441176470588,"7"
"7",0.032,0.015,0,0,0.004,8.33,10.56,10.56,12.22,12.78,7,"Bevans Cabin",1214,"SNTL",1987.296,40.46182,-112.25233,-999999,3.5,2017-09-20,5.08000000000007,5.08000000000007,5.08000000000007,5.08000000000007,20.3200000000001,0.0945555555555556,"1"
"8",0.278,-999999,0.219,0.32,-999999,6.11,-999999,6.67,6.67,-999999,8,"Big Flat",339,"SNTL",3154.3752,38.30183,-112.35672,-999999,4.22222222222222,2017-09-20,0,0,0,0,12.7,0.14975,"5"
"9",0.238,-999999,0.244,0.083,-999999,9.44,-999999,10,11.11,-999999,9,"Black Flat-U.M. Ck",348,"SNTL",2869.3872,38.6799,-111.59765,-999999,6.38888888888889,2017-09-20,0,0,0,0,5.07999999999998,0.192714285714286,"9"
"10",0.125,-999999,0.035,0.068,-999999,3.89,-999999,6.11,8.89,-999999,10,"Blacks Fork Jct",1162,"SNTL",2703.2712,40.95814,-110.5828,-999999,-2.61111111111111,2017-09-20,15.2399999999999,15.2399999999999,15.2399999999999,20.3199999999999,35.56,0.127142857142857,"3"
"11",0.274,-999999,0.242,0.062,-999999,5.56,-999999,7.78,8.89,-999999,11,"Bobs Hollow",1278,"SNTL",2840.4312,38.94569,-112.15349,-999999,5.22222222222222,2017-09-20,0,0,0,2.54000000000004,27.94,0.14975,"5"
"12",0.144,-999999,0.216,0.152,-999999,6.11,-999999,9.44,10,-999999,12,"Box Creek",364,"SNTL",3003.1944,38.50809,-112.01856,-999999,6.77777777777778,2017-09-20,0,2.54000000000004,2.54000000000004,2.54000000000004,10.1600000000001,0.14975,"5"
"13",0.16,-999999,0.069,0.085,-999999,8.33,-999999,9.44,10,-999999,13,"Box Springs",1156,"SNTL",2812.6944,38.49746,-112.00779,-999999,6.72222222222222,2017-09-20,0,0,0,0,10.16,0.14975,"5"
"14",0.098,-999999,0.098,0.17,-999999,7.22,-999999,10,9.44,-999999,14,"Brian Head",1154,"SNTL",3059.8872,37.67994,-112.85674,-999999,4.22222222222222,2017-09-20,2.53999999999986,2.53999999999986,2.53999999999986,2.53999999999986,2.53999999999986,0.206714285714286,"10"
