"","snow.LONGITUDE","snow.LATITUDE","snow.ELEVATION","snow.YRS","snow.HUC","snow.TD","snow.FFP","snow.MCMT","snow.MWMT","snow.PPTWT","snow.RH","snow.MAT","model$prediction"
"1",-110.933,42.733,1893,41,17040105,25.3999996185303,70,-8.80000019073486,16.7000007629395,94,46,3.70000004768372,2.54358333333333
"2",-112.27,37.52,2713,23,16030002,21.8999996185303,76,-5.69999980926514,16.2000007629395,186,51,4.30000019073486,9.15793333333333
"3",-109.143,40.892,1673,21,14040106,27.7000007629395,130,-5.30000019073486,22.3999996185303,29,47,8.30000019073486,2.14530555555556
"4",-111.777,40.451,1526,32,16020201,26.6000003814697,163,-2.79999995231628,23.7000007629395,129,56,10,1.32391304347826
"5",-111.633,40.6,2661,40,16020204,22.2999992370605,88,-7.5,14.8000001907349,413,65,2.29999995231628,8.85911428571429
"6",-110.283,40.361,1943,43,14060003,28.1000003814697,119,-7.80000019073486,20.2999992370605,49,49,6.40000009536743,2.54358333333333
"7",-108.383,39.5,1731,48,14010005,26.6000003814697,137,-5.09999990463257,21.5,79,52,8,1.99766666666667
"8",-112.482,37.44,2146,40,15010003,22.1000003814697,101,-3.5,18.6000003814697,119,48,6.90000009536743,8.85911428571429
"9",-111.961,38.249,1951,19,16030002,23.7000007629395,91,-4.19999980926514,19.5,28,41,7.19999980926514,5.1168
"10",-109.619,38.617,1259,29,14030005,29.2000007629395,175,-3.09999990463257,26.1000003814697,38,53,11.8000001907349,0.782
"11",-115.184,40.782,1918,26,16060007,23.7000007629395,112,-3.90000009536743,19.7999992370605,107,52,7.09999990463257,5.138125
"12",-108,36.834,1720,38,14080104,25.8999996185303,148,-2.70000004768372,23.2000007629395,62,47,10.1999998092651,1.47084375
"13",-111.5,40.167,1567,20,16020202,26.2999992370605,142,-4.5,21.7000007629395,204,56,8.19999980926514,2.14530555555556
"14",-111.4,41.966,1829,24,16010201,26.5,79,-8,18.5,84,46,4.80000019073486,1.99766666666667
"15",-112.267,41.467,1284,12,16010204,28.5,163,-4.19999980926514,24.2000007629395,85,56,9.80000019073486,1.58266666666667
"16",-112.482,38.267,2217,38,16030007,22.3999996185303,101,-3.90000009536743,18.5,114,48,6.5,8.85911428571429
"17",-111.56,39.14,2435,37,16030004,22.6000003814697,94,-5.5,17.2000007629395,188,52,5.09999990463257,5.138125
"18",-111.1,40.61,2524,39,16020203,23.3999996185303,62,-7.40000009536743,16,233,48,3.40000009536743,6.47575
"19",-112.633,38.283,1808,12,16030007,24.2000007629395,120,-2.79999995231628,21.3999996185303,63,45,8.69999980926514,1.47084375
"20",-110.917,42.87,1958,37,17040105,25.1000003814697,66,-8.89999961853027,16.2000007629395,150,45,3.40000009536743,2.54358333333333
"21",-111.94,41.38,2438,39,16020102,23.8999996185303,110,-5.80000019073486,18.1000003814697,515,59,5.19999980926514,8.85911428571429
"22",-111.92,41.38,1777,37,16020102,24.6000003814697,116,-5.09999990463257,19.5,377,55,6.40000009536743,3.462375
"23",-111.385,42.335,1818,25,16010201,26.6000003814697,89,-8.19999980926514,18.2999992370605,104,49,4.69999980926514,3.462375
"24",-114.62,39.32,2774,37,16060008,19.8999996185303,73,-6.40000009536743,13.5,180,62,2.09999990463257,9.15793333333333
"25",-110.533,36.683,2221,39,14080204,24.5,152,-2,22.5,73,53,9.89999961853027,6.47575
"26",-112.36,38.3,3154,39,16030007,21.2000007629395,62,-7.5,13.6999998092651,268,56,2.09999990463257,8.85911428571429
