Serial Number,Station Name,Station Id,Network,Elevation(meter),Latitude,Longitude,Wind Speed(m/s),Air Temperature(C),Start Date,Precipitation for 1 day,Precipitation for 2 days,Precipitation for 3 days,Precipitation for 4 days,Precipitation for 5 days,sm_2,sm_4,sm_8,sm_20,sm_40,st_2,st_4,st_8,st_20,st_40
1,Agua Canyon,907,SNTL,2712.7200000000003,37.52217,-112.27118,-999999,8.722222222222223,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,2.540000000000036,0.18600000000000003,-999999,0.20600000000000002,0.106,-999999,11.67,-999999,13.89,13.33,-999999
2,Bear River RS,992,SNTL,2675.2296,40.8852,-110.8277,-999999,-0.11111111111111072,2017-09-20 00:00:00,17.77999999999998,17.77999999999998,17.77999999999998,20.319999999999926,35.55999999999996,0.19,-999999,0.042,0.03,-999999,6.11,-999999,6.11,8.33,-999999
3,Beaver Dams,329,SNTL,2435.3520000000003,39.13683,-111.55813,-999999,3.111111111111112,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,22.860000000000053,0.34,-999999,0.337,0.303,-999999,10.0,-999999,11.67,12.22,-999999
4,Beaver Divide,330,SNTL,2523.744,40.61233,-111.09782,-999999,-0.2777777777777778,2017-09-20 00:00:00,15.240000000000036,15.240000000000036,15.240000000000036,15.240000000000036,35.55999999999996,0.14,-999999,0.115,0.069,-999999,5.0,-999999,8.89,11.11,-999999
5,Ben Lomond Peak,332,SNTL,2343.6072,41.37603,-111.94405,-999999,2.8888888888888906,2017-09-20 00:00:00,5.080000000000072,7.619999999999927,7.619999999999927,12.7,25.4,0.195,-999999,0.174,0.047,-999999,4.44,-999999,8.33,8.89,-999999
6,Ben Lomond Trail,333,SNTL,1820.2656000000002,41.38291,-111.92103,-999999,1.1111111111111112,2017-09-20 00:00:00,15.240000000000036,22.859999999999964,22.859999999999964,22.859999999999964,40.640000000000036,0.146,-999999,0.179,0.136,-999999,8.33,-999999,10.0,11.11,-999999
7,Bevans Cabin,1214,SNTL,1987.296,40.46182,-112.25233,-999999,3.4999999999999982,2017-09-20 00:00:00,5.080000000000072,5.080000000000072,5.080000000000072,5.080000000000072,20.320000000000107,0.032,0.015,0.0,0.0,0.004,8.33,10.56,10.56,12.22,12.78
8,Big Flat,339,SNTL,3154.3752,38.30183,-112.35672,-999999,4.222222222222223,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,12.7,0.278,-999999,0.21899999999999997,0.32,-999999,6.11,-999999,6.67,6.67,-999999
9,Black Flat-U.M. Ck,348,SNTL,2869.3872,38.6799,-111.59765,-999999,6.388888888888889,2017-09-20 00:00:00,0.0,0.0,0.0,0.0,5.079999999999981,0.23800000000000002,-999999,0.244,0.083,-999999,9.44,-999999,10.0,11.11,-999999
10,Blacks Fork Jct,1162,SNTL,2703.2712,40.95814,-110.5828,-999999,-2.6111111111111107,2017-09-20 00:00:00,15.239999999999945,15.239999999999945,15.239999999999945,20.319999999999926,35.55999999999996,0.125,-999999,0.035,0.068,-999999,3.89,-999999,6.11,8.89,-999999
