"","sm_8","elev","wind","p1day","p2day","p3day","p4day","p5day","slope","aspect","long","lat","prediction","resid","cv_predictions","cv_resid"
"1",0.206,2712.72,-999999,0,0,0,0,2.54000000000004,5.31919222501763,205.054813821629,-112.27118,37.52217,0.152972156866944,0.0530278431330556,0.152702110441296,0.053297889558704
"2",0.042,2675.2296,-999999,17.78,17.78,17.78,20.3199999999999,35.56,3.95047486667911,276.221754388551,-110.8277,40.8852,0.206453631284916,-0.164453631284916,0.198435633333333,-0.156435633333333
"3",0.337,2435.352,-999999,0,0,0,0,22.8600000000001,6.162584651194,316.531027385469,-111.55813,39.13683,0.177231557792167,0.159768442207833,0.176834178217503,0.160165821782497
"4",0.115,2523.744,-999999,15.24,15.24,15.24,15.24,35.56,3.40785973800343,248.595657437327,-111.09782,40.61233,0.13838671875,-0.02338671875,0.161022033333333,-0.0460220333333331
"5",0.174,2343.6072,-999999,5.08000000000007,7.61999999999993,7.61999999999993,12.7,25.4,15.0124421218316,32.3431696224811,-111.94405,41.37603,0.113728243021346,0.0602717569786535,0.108201783333333,0.0657982166666667
"6",0.179,1820.2656,-999999,15.24,22.86,22.86,22.86,40.64,9.28511653154872,84.1669059814197,-111.92103,41.38291,0.169636507936508,0.00936349206349205,0.155302,0.023698
"7",0,1987.296,-999999,5.08000000000007,5.08000000000007,5.08000000000007,5.08000000000007,20.3200000000001,13.4411730589671,249.350032274164,-112.25233,40.46182,0.121208958333333,-0.121208958333333,0.115730966666667,-0.115730966666667
"8",0.219,3154.3752,-999999,0,0,0,0,12.7,4.91499314420566,304.222593992587,-112.35672,38.30183,0.190113986455464,0.0288860135445363,0.155299470704617,0.0637005292953829
"9",0.244,2869.3872,-999999,0,0,0,0,5.07999999999998,2.52835301842566,168.377326983121,-111.59765,38.6799,0.162846736094604,0.0811532639053963,0.162615725277444,0.0813842747225564
"10",0.035,2703.2712,-999999,15.2399999999999,15.2399999999999,15.2399999999999,20.3199999999999,35.56,8.30808671591534,70.3157507585538,-110.5828,40.95814,0.165532279693487,-0.130532279693487,0.172619766666667,-0.137619766666667
